行驶里程,行驶时长,平均时速,时速标准差,时速最大值,平稳性,转速平均值,转速标准差,转速最大值,早晚高峰,深夜出行,极度拥堵,高速行驶,疲劳驾驶,车号
0.07,0.0922224,0.7,2.344661148,12,0.405851216,746.35,113.5911585,1407,0,0,1,0,0,1
1,0.1286112,12.13461538,9.806018252,28,0.98490022,982.4615385,254.1117912,1533,0,0,0.557692308,0,0,1
2,0.0983328,18.5,12.52602924,39,0.972843947,1112.055556,270.2811207,1633,0.999999999,0,0.347222222,0,0,1
0.17,0.2094432,3,4.251361438,14,0.188973225,755.3214286,140.7574887,1238,0,0,0.892857143,0,0,1
120,1.6430544,72.15061475,39.83835106,144,1.205835699,1711.927254,541.5503915,3054,0,0,0.12602459,0.467213115,0,1
1,0.1416672,13.03409091,12.25162327,36,0.974243377,1056.181818,316.3180251,1857,0.999999999,0,0.477272727,0,0,1
1,0.12,15.44285714,13.14868783,46,1.044628085,1072.814286,252.8108242,1669,0,0,0.428571429,0,0,1
0.05,0.0569424,7.171428571,9.147438453,33,0.739913729,977.2857143,229.1251355,1534,0.707325297,0,0.685714286,0,0,1
2,0.2050008,10.27419355,9.903057514,44,0.959320647,954.25,233.758218,1483,1,0,0.653225806,0,0,1
1,0.2816664,6.46,8.664228705,28,0.997465962,871.1266667,219.3161824,1447,1,0,0.773333333,0,0,1
5,0.155556,22.7518797,11.52362923,44,0.886847721,1173.586466,250.3735732,1641,0,0,0.263157895,0,0,1
2,0.6008328,8.25,9.442829093,39,1.010702292,936.5847458,264.707798,1581,1,0,0.703389831,0,0,1
2,0.2786112,9.027972028,6.378820651,24,0.769014145,935.6153846,206.8718363,1372,0,0,0.65034965,0,0,1
3,0.2241672,12.6971831,14.06065353,52,1.098993897,986.8802817,278.1350629,1657,0,0,0.61971831,0,0,1
1,0.1258344,13.84615385,12.25812948,38,1.090272761,1036.897436,321.1557291,1718,0,0,0.461538462,0,0,1
1,0.1391664,13.32941176,14.59402049,45,1.056187052,976.4235294,329.446483,1712,0,0,0.552941176,0,0,1
16,0.8219448,22.93863636,17.42810439,72,1.088318365,1155.359091,275.9424409,1969,0,0,0.331818182,0,0,1
13,1.1730552,12.73538462,11.32830469,41,1.082418799,1008.306154,277.9348564,1869,1,0,0.493846154,0,0,1
1,0.181944,9.6,11.15462631,38,1.012630332,959.2272727,329.1864216,1834,1,0,0.672727273,0,0,1
2,0.1400016,16.08235294,13.18568105,45,0.955688377,1070.447059,311.0970414,1950,0,0,0.447058824,0,0,1
2,0.2294448,11.91489362,12.01337907,51,1.076378473,1025.87234,276.5428112,1531,0,0.27602979,0.567375887,0,0,1
122,1.876944,64.3147482,36.45679586,126,1.206083245,1548.786871,460.0991836,2511,0,0,0.142985612,0.313848921,0,1
184,3.0663888,62.29697316,44.01603327,135,1.211147149,1569.438035,600.102984,2916,0.388803142,0,0.241576242,0.39234723,3.0663888,1
1,0.1225008,11.61363636,11.1761567,40,0.980004755,994.5795455,283.2692039,1792,0.605442577,0,0.579545455,0,0,1
5,0.4852776,12.05300353,12.96643306,46,1.02945593,992.5371025,303.1460826,1966,0,0,0.614840989,0,0,1
3,0.2413896,12.39455782,14.54777572,56,1.076444919,1027.52381,300.4995688,1780,0,0,0.578231293,0,0,1
0.05,0.0669432,10.98113208,13.66422978,43,0.95347466,928.3207547,337.4877647,1873,1,0,0.603773585,0,0,1
1,0.1177776,12.30263158,12.29853079,40,0.921865034,988.0921053,308.4619989,1749,0,0,0.578947368,0,0,1
2,0.1491672,13.36065574,13.59087295,43,1.069411029,999.2868852,291.6422715,1596,0,0,0.56557377,0,0,1
182,2.1988896,85.72770701,36.72491556,135,1.203291875,1867.327229,530.0306347,3090,0.866725096,0,0.063694268,0.619426752,2.1988896,1
4,0.9347232,13.02657807,11.49170532,39,1.024856256,1030.372093,283.3304686,1991,0,0,0.485049834,0,0,1
2,0.1738896,11.08943089,12.89110008,43,1.103222714,1018.455285,288.117242,1621,0,0,0.682926829,0,0,1
2,0.0752784,25.63829787,18.08365288,63,0.972141189,1190.106383,344.5185825,2146,0,0,0.255319149,0,0,1
0.13,0.165,3.693430657,9.52053666,42,1.142779827,747.6058394,239.3871574,1617,0,0,0.919708029,0,0,1
0.13,0.1663872,6.470588235,10.72098039,32,1.1464741,894.2941176,269.766735,1529,0,0,0.779411765,0,0,1
6,0.4094448,14.76470588,11.15984849,39,1.046826024,1039.345588,277.9982845,1575,1,0,0.448529412,0,0,1
